"HIT_ID","EVENT_OCCURRED_UTC","APP_NAME","APP_VERSION","CLIENT_ID","SESSION_ID","EVENTNAME"
"59","2024-04-02 00:07:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"91","2024-04-02 00:08:33","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","b2dcd972-823b-5b14-a294-ce30a7929caf","e4cb78f1-f084-11ee-8dec-6e7faad1f3b0","heartBeat"
"97","2024-04-02 00:08:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"73","2024-04-02 00:11:15","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"28","2024-04-02 00:11:55","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"4","2024-04-02 00:12:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"26","2024-04-02 00:13:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"96","2024-04-02 00:14:55","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"16","2024-04-02 00:15:15","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"31","2024-04-02 00:15:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"41","2024-04-02 00:15:55","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"38","2024-04-02 00:17:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"29","2024-04-02 00:17:55","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"8","2024-04-02 00:18:15","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"87","2024-04-02 00:18:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"9","2024-04-02 00:20:15","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"21","2024-04-02 00:21:35","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"42","2024-04-02 00:23:50","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"36","2024-04-02 00:24:30","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"27","2024-04-02 00:25:10","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"7","2024-04-02 00:25:50","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"66","2024-04-02 00:26:30","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"46","2024-04-02 00:27:30","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"20","2024-04-02 00:28:10","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","heartBeat"
"48","2024-04-02 00:28:18","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","50a3132f-7f4e-5c51-8746-160e3619e35e","cc1ff065-f855-11ee-9c2a-cef0d3e1cfbb","clipEnd"
"73","2024-04-02 01:23:51","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","fef33f9a-bb1f-5102-8f71-aa700c96a5ac","85d8c6e1-f08e-11ee-ae5a-d6eee2a6a499","heartBeat"
"74","2024-04-02 01:24:11","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","fef33f9a-bb1f-5102-8f71-aa700c96a5ac","85d8c6e1-f08e-11ee-ae5a-d6eee2a6a499","heartBeat"
"77","2024-04-02 01:24:34","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","fef33f9a-bb1f-5102-8f71-aa700c96a5ac","85d8c6e1-f08e-11ee-ae5a-d6eee2a6a499","clipEnd"
"618","2024-04-02 01:37:06","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","638510bf-3278-5a0c-9b7d-178ee0cfad53","97946aed-f086-11ee-a502-22fc8a704b15","heartBeat"
"619","2024-04-02 01:37:26","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","638510bf-3278-5a0c-9b7d-178ee0cfad53","97946aed-f086-11ee-a502-22fc8a704b15","heartBeat"
"620","2024-04-02 01:37:46","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","638510bf-3278-5a0c-9b7d-178ee0cfad53","97946aed-f086-11ee-a502-22fc8a704b15","heartBeat"
"622","2024-04-02 01:37:58","roku","5.33.5-d1bde25c896954a4820cb95376a0eed925b5a4d9","638510bf-3278-5a0c-9b7d-178ee0cfad53","97946aed-f086-11ee-a502-22fc8a704b15","clipEnd"
